ID,RA,Dec,k80mag,e80mag,Jmag,eJmag,jMINUSeightzero,ERRORjMINUSeightzero
15152,296.1358,-14.78852,16.18,0.22,19.052,0.128,2.872,0.254527012
15155,296.14686,-14.88143,16.9,0.26,18.973,0.12,2.073,0.286356421
15158,296.40398,-14.65312,15.84,0.22,19.075,0.127,3.235,0.254025589
15159,296.32856,-14.71349,15.98,0.2,18.873,0.109,2.893,0.227774011
15164,296.1985,-14.81381,15.74,0.12,18.529,0.083,2.789,0.145907505
15166,296.06484,-14.89258,16,0.16,18.17,0.069,2.17,0.174244082
15168,296.10852,-14.92279,16.81,0.27,18.706,0.096,1.896,0.286558894
15170,296.19812,-14.85695,16.21,0.18,18.829,0.106,2.619,0.208892317
15171,296.06723,-14.94311,15.44,0.09,19.03,0.12,3.59,0.15
15172,296.12446,-14.71385,16.54,0.22,18.826,0.1,2.286,0.241660919
15174,296.21943,-14.89519,16.8,0.29,18.756,0.099,1.956,0.306432701
15178,296.27469,-14.94052,16,0.18,19.336,0.157,3.336,0.238849325
15186,296.2321,-14.74658,16.45,0.23,18.886,0.112,2.436,0.255820249
15188,296.24791,-14.64746,16.16,0.15,18.988,0.114,2.828,0.188403822
15193,296.38597,-14.92124,15.83,0.1,18.798,0.083,2.968,0.129957685
15197,296.13748,-14.75797,16.75,0.24,18.915,0.113,2.165,0.265271559
15205,296.17713,-14.67356,16.05,0.16,19.136,0.129,3.086,0.205526154
15215,296.39616,-14.71902,15.71,0.23,19.064,0.102,3.354,0.251602862
15216,296.34024,-14.82317,16.26,0.23,18.688,0.075,2.428,0.241919408
15220,296.25973,-14.93082,16.49,0.19,19.166,0.139,2.676,0.235416652
15222,296.11618,-14.86737,16.33,0.19,18.906,0.114,2.576,0.221576172
15230,296.37058,-14.69392,15.6,0.22,18.375,0.071,2.775,0.231173095
15236,296.20459,-14.7363,16.46,0.26,18.774,0.101,2.314,0.278928306
15239,296.24468,-14.75852,16.32,0.18,19.426,0.173,3.106,0.249657766
15242,296.03645,-14.67923,16.04,0.2,19.212,0.151,3.172,0.250601277
15244,296.28999,-14.86945,16.34,0.17,18.8,0.101,2.46,0.197739728
15248,296.19255,-14.84822,15.96,0.15,18.889,0.112,2.929,0.187200427
15250,296.41674,-14.84499,15.73,0.24,18.449,0.062,2.719,0.247879003
15253,296.28688,-14.68344,16.04,0.19,18.972,0.112,2.932,0.220553848
15254,296.37573,-14.80843,16.47,0.23,19.331,0.128,2.861,0.26321854
15258,296.33269,-14.82643,16.81,0.23,18.77,0.081,1.96,0.243846263
15264,296.27997,-14.89217,16.78,0.23,18.002,0.052,1.222,0.235805004
15278,296.3808,-14.67494,15.88,0.17,18.312,0.067,2.432,0.182726572
15284,296.24427,-14.944,16.17,0.19,18.974,0.117,2.804,0.223134489
15289,296.33641,-14.69102,16.31,0.2,19.148,0.137,2.838,0.242423184
15290,296.19554,-14.82979,16.02,0.11,19.025,0.126,3.005,0.167260276
15291,296.25392,-14.84256,16.76,0.23,19.027,0.125,2.267,0.261772802
15297,296.28425,-14.84363,16.41,0.17,18.851,0.106,2.441,0.200339711
15299,296.21316,-14.80305,17,0.25,18.812,0.106,1.812,0.271543735
15302,296.24031,-14.74837,16.33,0.26,18.91,0.113,2.58,0.283494268
15304,296.3742,-14.7571,16.05,0.18,18.87,0.087,2.82,0.199922485
15307,296.21603,-14.76572,16.33,0.14,18.665,0.093,2.335,0.168074388
15310,296.14822,-14.86106,16.33,0.11,18.758,0.1,2.428,0.148660687
15313,296.34118,-14.72927,16.93,0.29,18.971,0.096,2.041,0.305476677
15315,296.40445,-14.91568,16.28,0.27,18.947,0.093,2.667,0.285567855
15316,296.36678,-14.88931,16.05,0.22,18.857,0.087,2.807,0.236577683
15325,296.10826,-14.7762,16.91,0.26,19.021,0.124,2.111,0.28805555
15326,296.25154,-14.7668,15.4,0.15,18.946,0.116,3.546,0.189620674
15327,296.29496,-14.65227,16.39,0.28,19.214,0.137,2.824,0.311719425
15329,296.13557,-14.93395,15.96,0.2,19.616,0.203,3.656,0.284971928
15331,296.19668,-14.76589,16.47,0.18,19.026,0.125,2.556,0.21914607
15332,296.16238,-14.90611,16.43,0.12,19.072,0.13,2.642,0.17691806
15336,296.40467,-14.72958,15.55,0.13,18.93,0.092,3.38,0.159260792
15340,296.3303,-14.77584,15.9,0.11,18.751,0.08,2.851,0.136014705
15342,296.29117,-14.83459,13.35,0.04,18.919,0.113,5.569,0.119870764
15343,296.38875,-14.91123,16.22,0.23,19.083,0.105,2.863,0.252833938
15344,296.27527,-14.89125,16.24,0.17,18.656,0.09,2.416,0.192353841
15345,296.24015,-14.75854,16.53,0.28,18.676,0.093,2.146,0.295040675
15346,296.32155,-14.64188,15.98,0.08,18.861,0.101,2.881,0.128844868
15349,296.26761,-14.84619,16.42,0.21,19.188,0.141,2.768,0.252944658
15352,296.21624,-14.75774,16.46,0.29,18.772,0.101,2.312,0.307084679
