ID,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk,ID,CMD1region
311,296.10497,-14.82295,14.406,0.005,13.64,0.004,0.766,0.006403124,3123,1
312,296.41486,-14.91283,14.236,0.004,13.528,0.003,0.708,0.005,3127,1
313,296.25864,-14.73678,17.718,0.042,15.452,0.013,2.266,0.043965896,3137,1
316,296.22874,-14.79328,18.5,0.081,15.927,0.018,2.573,0.0829759,3144,1
317,296.20195,-14.65092,14.229,0.004,13.608,0.004,0.621,0.005656854,3150,1
318,296.19395,-14.80631,13.952,0.004,13.5,0.004,0.452,0.005656854,3157,1
319,296.1512,-14.90698,19.145,0.138,15.428,0.012,3.717,0.138520757,3165,1
320,296.19311,-14.77098,14.511,0.005,13.735,0.004,0.776,0.006403124,3175,1
321,296.26106,-14.81191,13.977,0.004,13.632,0.004,0.345,0.005656854,3177,1
322,296.22485,-14.74019,14.525,0.005,13.682,0.004,0.843,0.006403124,3183,1
323,296.24518,-14.84766,18.731,0.098,16.854,0.037,1.877,0.104752088,3189,1
326,296.23291,-14.72954,14.018,0.004,13.672,0.004,0.346,0.005656854,3198,1
327,296.27563,-14.74918,19.367,0.164,15.976,0.019,3.391,0.165096941,3199,1
329,296.13877,-14.79593,14.63,0.005,13.826,0.004,0.804,0.006403124,3205,1
330,296.22454,-14.7907,14.121,0.004,13.682,0.004,0.439,0.005656854,3208,1
332,296.29505,-14.87066,14.029,0.004,13.734,0.004,0.295,0.005656854,3212,1
333,296.34665,-14.71721,13.917,0.003,13.585,0.003,0.332,0.004242641,3214,1
334,296.24322,-14.89375,14.484,0.005,13.731,0.004,0.753,0.006403124,3222,1
335,296.29248,-14.73493,13.968,0.004,13.725,0.004,0.243,0.005656854,3227,1
336,296.0913,-14.91853,14.561,0.006,13.739,0.004,0.822,0.007211103,3228,1
337,296.28032,-14.78206,14.084,0.004,13.685,0.004,0.399,0.005656854,3235,1
338,296.1688,-14.80104,14.757,0.006,13.946,0.005,0.811,0.00781025,3236,1
339,296.23638,-14.74041,14.667,0.005,13.751,0.004,0.916,0.006403124,3238,1
340,296.23266,-14.81688,14.184,0.004,13.709,0.004,0.475,0.005656854,3240,1
341,296.35939,-14.73603,13.99,0.004,13.638,0.004,0.352,0.005656854,3250,1
342,296.28421,-14.81188,16.919,0.022,14.778,0.008,2.141,0.0234094,3255,1
343,296.24127,-14.80232,13.918,0.004,13.638,0.004,0.28,0.005656854,3258,1
345,296.41378,-14.90101,14.125,0.004,13.63,0.004,0.495,0.005656854,3259,1
346,296.26704,-14.76307,14.804,0.006,13.662,0.004,1.142,0.007211103,3265,1
348,296.18379,-14.68244,17.629,0.037,14.965,0.008,2.664,0.037854986,3271,1
350,296.24753,-14.82685,17.756,0.043,15.195,0.01,2.561,0.04414748,3272,1
351,296.24298,-14.83828,17.831,0.047,15.523,0.013,2.308,0.048764741,3280,1
352,296.24255,-14.85745,13.889,0.004,13.736,0.004,0.153,0.005656854,3282,1
353,296.06026,-14.70829,14.409,0.005,13.672,0.004,0.737,0.006403124,3284,1
354,296.15736,-14.87162,14.256,0.004,13.667,0.004,0.589,0.005656854,3286,1
355,296.29008,-14.63943,14.133,0.004,13.73,0.004,0.403,0.005656854,3290,1
357,296.22206,-14.83405,14.593,0.005,13.686,0.004,0.907,0.006403124,3292,1
358,296.38925,-14.82578,14.736,0.005,13.935,0.004,0.801,0.006403124,3300,1
359,296.33015,-14.7458,14.202,0.004,13.785,0.004,0.417,0.005656854,3302,1
360,296.37727,-14.72669,13.885,0.004,13.601,0.004,0.284,0.005656854,3303,1
361,296.09812,-14.78564,19.207,0.145,16.07,0.02,3.137,0.146372812,3304,1
363,296.42593,-14.82409,13.939,0.004,13.641,0.004,0.298,0.005656854,3316,1
364,296.2094,-14.82732,14.047,0.004,13.741,0.004,0.306,0.005656854,3322,1
365,296.2992,-14.69142,17.723,0.04,15.237,0.01,2.486,0.041231056,3325,1
366,296.13975,-14.66904,14.171,0.004,13.741,0.004,0.43,0.005656854,3327,1
367,296.38771,-14.87301,17.766,0.036,15.057,0.009,2.709,0.037107951,3333,1
368,296.17956,-14.77517,18.045,0.055,15.468,0.012,2.577,0.056293872,3340,1
369,296.14209,-14.76548,14.309,0.004,13.712,0.004,0.597,0.005656854,3350,1
371,296.15816,-14.88334,14.097,0.004,13.703,0.004,0.394,0.005656854,3351,1
372,296.07223,-14.96256,14.315,0.004,13.728,0.005,0.587,0.006403124,3352,1
373,296.35428,-14.82683,14.311,0.004,13.793,0.004,0.518,0.005656854,3357,1
374,296.22747,-14.71498,14.441,0.004,13.796,0.004,0.645,0.005656854,3373,1
376,296.22633,-14.71393,14.197,0.004,13.832,0.004,0.365,0.005656854,3377,1
