ID,CMD3region,RA,Dec,k36mag,e36mag,k80mag,e80mag,threesixMINUSeightzero,ERRORthreesixMINUSeightzero
5417,5,296.40358,-14.68708,16.53,0.18,14.39,0.1,2.14,0.205912603
5429,5,296.36596,-14.66176,16.58,0.05,13.95,0.07,2.63,0.086023253
5436,5,296.3914,-14.74578,16.48,0.08,14.29,0.11,2.19,0.136014705
5441,5,296.15713,-14.75541,16.93,0.06,13.86,0.05,3.07,0.078102497
5444,5,296.2242,-14.93581,17.39,0.04,14.06,0.08,3.33,0.089442719
5449,5,296.20544,-14.88288,16.99,0.09,12.9,0.08,4.09,0.120415946
5469,5,296.40857,-14.78311,16.78,0.13,14.61,0.09,2.17,0.158113883
5517,5,296.44553,-14.90121,17.12,0.05,14.76,0.18,2.36,0.186815417
5533,5,296.20799,-14.87426,16.76,0.07,14.24,0.05,2.52,0.086023253
5543,5,296.27253,-14.72533,17.13,0.07,13.09,0.07,4.04,0.098994949
5555,5,296.09348,-14.7763,16.28,0.05,14.51,0.1,1.77,0.111803399
5560,5,296.42389,-14.89196,17.05,0.11,14.28,0.07,2.77,0.130384048
5570,5,296.12859,-14.96004,17.06,0.06,14.58,0.06,2.48,0.084852814
5673,5,296.2201,-14.8772,16.88,0.04,14.2,0.05,2.68,0.064031242
5814,5,296.27106,-14.72381,17.1,0.09,12.66,0.1,4.44,0.13453624
5820,5,296.23801,-14.79889,16.4,0.05,12.84,0.17,3.56,0.177200451
5848,5,296.18503,-14.86578,16.58,0.08,14.18,0.04,2.4,0.089442719
5853,5,296.21672,-14.72076,17.18,0.13,14.28,0.11,2.9,0.170293864
5854,5,296.33448,-14.91072,17.16,0.05,14.69,0.07,2.47,0.086023253
5866,5,296.13598,-14.71088,17.25,0.07,14.39,0.03,2.86,0.076157731
5870,5,296.26382,-14.78353,16.93,0.05,14.44,0.09,2.49,0.102956301
5882,5,296.35183,-14.90529,16.81,0.07,14.6,0.1,2.21,0.122065556
5900,5,296.13569,-14.70243,16.57,0.07,14.06,0.13,2.51,0.147648231
5913,5,296.21785,-14.72194,17.26,0.15,12.71,0.15,4.55,0.212132034
5933,5,296.36735,-14.74197,17.25,0.05,14.39,0.06,2.86,0.078102497
5941,5,296.13502,-14.74394,16.39,0.14,14.47,0.06,1.92,0.152315462
5949,5,296.24968,-14.78571,16.41,0.04,14.47,0.08,1.94,0.089442719
5959,5,296.11791,-14.80108,17.7,0.06,14.59,0.15,3.11,0.161554944
5993,5,296.19481,-14.84592,17.17,0.07,13.99,0.07,3.18,0.098994949
6029,5,296.05867,-14.89324,17.01,0.07,14.46,0.06,2.55,0.092195445
6064,5,296.22577,-14.70739,16.61,0.04,14.37,0.09,2.24,0.098488578
6102,5,296.44172,-14.86747,16.89,0.08,14.56,0.09,2.33,0.120415946
6181,5,296.2487,-14.78213,16.66,0.05,14.07,0.04,2.59,0.064031242
6200,5,296.39433,-14.65955,16.93,0.07,14.33,0.09,2.6,0.114017543
6240,5,296.23757,-14.70361,18.12,0.1,14.59,0.06,3.53,0.116619038
6258,5,296.41635,-14.76205,17.1,0.07,14.37,0.04,2.73,0.080622577
6288,5,296.20314,-14.87639,16.57,0.07,13.18,0.1,3.39,0.122065556
6309,5,296.22799,-14.95188,17.34,0.06,14.79,0.14,2.55,0.152315462
6420,5,296.24312,-14.79389,16.56,0.04,14.15,0.08,2.41,0.089442719
6421,5,296.13827,-14.72962,17.95,0.05,14.16,0.03,3.79,0.058309519
6577,5,296.37621,-14.6468,17.32,0.06,14.53,0.08,2.79,0.1
6581,5,296.21801,-14.85722,17.06,0.07,12.92,0.05,4.14,0.086023253
6584,5,296.13138,-14.69765,17.29,0.1,13.6,0.07,3.69,0.122065556
6597,5,296.24715,-14.799,16.83,0.06,14.19,0.07,2.64,0.092195445
6598,5,296.31094,-14.76437,17.42,0.09,14.42,0.06,3,0.108166538
6601,5,296.28331,-14.76125,17.3,0.07,14.39,0.05,2.91,0.086023253
6641,5,296.23308,-14.84187,16.73,0.06,13.7,0.09,3.03,0.108166538
6648,5,296.20061,-14.80555,17.68,0.14,14.57,0.08,3.11,0.161245155
6690,5,296.27165,-14.71777,17.21,0.13,14.37,0.1,2.84,0.164012195
6695,5,296.13054,-14.6965,17.21,0.13,13.59,0.1,3.62,0.164012195
6700,5,296.24342,-14.78678,16.81,0.07,13.97,0.08,2.84,0.106301458
6704,5,296.22763,-14.71035,16.99,0.09,14.57,0.08,2.42,0.120415946
6755,5,296.28976,-14.81373,17.19,0.07,14.12,0.05,3.07,0.086023253
6762,5,296.04945,-14.84182,17.82,0.17,14.8,0.08,3.02,0.187882942
