ID,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
12188,296.14983,-14.84339,17.44,0.06,18.748,0.099,1.308,0.115762688
12189,296.23336,-14.67268,17.72,0.09,18.891,0.105,1.171,0.138293167
12193,296.20198,-14.79378,17.43,0.06,18.374,0.073,0.944,0.094493386
12194,296.0901,-14.6989,17.59,0.1,18.288,0.07,0.698,0.122065556
12197,296.16782,-14.8118,17.43,0.05,18.604,0.088,1.174,0.101212647
12198,296.37532,-14.8988,17.66,0.06,18.724,0.078,1.064,0.098407317
12200,296.06794,-14.85508,17.21,0.08,17.641,0.045,0.431,0.091787799
12201,296.3818,-14.80226,17.11,0.06,18.816,0.084,1.706,0.103227903
12205,296.16599,-14.75538,17.61,0.05,19.334,0.16,1.724,0.167630546
12206,296.30992,-14.92321,17.49,0.08,17.969,0.051,0.479,0.0948736
12208,296.31463,-14.81088,17.56,0.06,18.664,0.091,1.104,0.109
12210,296.18053,-14.85921,17.58,0.06,18.721,0.097,1.141,0.114057003
12211,296.29303,-14.76489,17.57,0.05,18.605,0.086,1.035,0.099478641
12212,296.09824,-14.84659,17.67,0.05,18.451,0.077,0.781,0.091809586
12214,296.33012,-14.68281,17.53,0.05,18.851,0.106,1.321,0.117200683
12216,296.16624,-14.75149,17.58,0.06,18.611,0.087,1.031,0.10568349
12219,296.10814,-14.91976,17.64,0.08,18.676,0.094,1.036,0.123434193
12221,296.08643,-14.92029,17.58,0.07,18.426,0.085,0.846,0.110113578
12222,296.12313,-14.69065,17.37,0.07,18.532,0.078,1.162,0.10480458
12223,296.1807,-14.6799,17.45,0.11,18.692,0.089,1.242,0.141495583
12227,296.14855,-14.7796,17.73,0.06,19.144,0.138,1.414,0.150479234
12230,296.15102,-14.7526,17.4,0.04,18.51,0.08,1.11,0.089442719
12232,296.2524,-14.82071,17.5,0.05,18.372,0.072,0.872,0.087658428
12235,296.07705,-14.72241,17.5,0.06,18.702,0.099,1.202,0.115762688
12236,296.05697,-14.6801,17.63,0.06,18.751,0.102,1.121,0.118338498
12239,296.2622,-14.78299,17.47,0.07,19.395,0.168,1.925,0.182
12240,296.24638,-14.82788,17.73,0.08,19.115,0.134,1.385,0.156064089
12241,296.24579,-14.741,17.4,0.08,18.594,0.086,1.194,0.117456375
