ID,CMD2region,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
4731,2,296.41725,-14.79052,16.68,0.06,17.673,0.034,0.993,0.068963759
4736,2,296.24274,-14.83763,16.64,0.06,17.726,0.042,1.086,0.073239334
4737,2,296.30563,-14.67414,16.44,0.07,17.446,0.032,1.006,0.076967526
4743,2,296.2192,-14.7098,16.49,0.03,17.55,0.035,1.06,0.046097722
4746,2,296.10047,-14.71663,16.44,0.07,17.539,0.034,1.099,0.077820306
4759,2,296.39387,-14.85312,16.4,0.05,17.436,0.028,1.036,0.057306195
4761,2,296.21821,-14.76537,16.35,0.03,17.311,0.031,0.961,0.043139309
4765,2,296.26496,-14.91266,16.51,0.05,17.505,0.035,0.995,0.061032778
4770,2,296.30276,-14.68111,16.6,0.08,17.611,0.036,1.011,0.087726849
4788,2,296.11337,-14.95478,16.36,0.07,17.303,0.03,0.943,0.076157731
4793,2,296.15999,-14.73765,16.54,0.06,17.533,0.036,0.993,0.069971423
4803,2,296.40439,-14.84276,16.49,0.08,17.588,0.032,1.098,0.086162637
4806,2,296.16276,-14.84094,16.66,0.05,17.73,0.043,1.07,0.065946948
4808,2,296.18093,-14.94517,16.45,0.06,17.542,0.036,1.092,0.069971423
4809,2,296.32624,-14.70264,16.54,0.04,17.649,0.039,1.109,0.055865911
4849,2,296.37228,-14.86054,16.45,0.04,17.482,0.029,1.032,0.049406477
4857,2,296.05766,-14.86096,16.36,0.06,17.5,0.04,1.14,0.072111026
4860,2,296.24697,-14.68068,16.47,0.07,17.535,0.034,1.065,0.077820306
4872,2,296.37616,-14.68176,16.68,0.08,17.655,0.039,0.975,0.089
4873,2,296.2654,-14.88775,16.36,0.08,17.432,0.033,1.072,0.086539009
4874,2,296.35443,-14.91745,16.51,0.05,17.441,0.028,0.931,0.057306195
4899,2,296.24336,-14.82801,16.36,0.05,17.374,0.032,1.014,0.059363288
4903,2,296.16786,-14.68862,16.37,0.05,17.373,0.03,1.003,0.058309519
4915,2,296.21632,-14.72472,16.47,0.03,17.5,0.033,1.03,0.044598206
4921,2,296.35527,-14.69394,16.5,0.05,17.462,0.033,0.962,0.059908263
4931,2,296.34429,-14.78232,16.37,0.05,17.259,0.025,0.889,0.055901699
4933,2,296.27654,-14.82016,16.38,0.03,17.365,0.032,0.985,0.043863424
4937,2,296.30338,-14.6564,16.52,0.04,17.614,0.036,1.094,0.053814496
4941,2,296.22403,-14.89896,16.45,0.05,17.523,0.036,1.073,0.061611687
4957,2,296.25376,-14.89311,16.39,0.04,17.258,0.029,0.868,0.049406477
4960,2,296.43769,-14.88734,16.6,0.07,17.634,0.033,1.034,0.07738863
4969,2,296.07953,-14.8472,16.56,0.06,17.64,0.045,1.08,0.075
4974,2,296.10753,-14.7304,16.46,0.05,17.577,0.038,1.117,0.062801274
4978,2,296.14506,-14.74084,16.4,0.03,17.356,0.031,0.956,0.043139309
4979,2,296.10976,-14.86962,16.42,0.05,17.486,0.035,1.066,0.061032778
4985,2,296.22497,-14.82435,16.49,0.04,17.566,0.038,1.076,0.055172457
4987,2,296.10558,-14.67811,16.52,0.11,17.508,0.033,0.988,0.114843372
5004,2,296.41317,-14.78935,16.47,0.08,17.429,0.028,0.959,0.08475848
5013,2,296.12338,-14.82952,16.5,0.05,17.536,0.037,1.036,0.062201286
5021,2,296.20631,-14.74649,16.63,0.05,17.605,0.038,0.975,0.062801274
5022,2,296.23017,-14.8114,16.47,0.07,17.528,0.036,1.058,0.078714675
5025,2,296.27758,-14.92498,16.39,0.05,17.32,0.03,0.93,0.058309519
5029,2,296.06818,-14.79852,16.61,0.07,17.515,0.041,0.905,0.081123363
5031,2,296.23357,-14.73093,16.48,0.1,17.554,0.037,1.074,0.106625513
5040,2,296.32035,-14.86898,16.57,0.06,17.586,0.032,1.016,0.068
5042,2,296.40229,-14.73014,16.6,0.06,17.554,0.031,0.954,0.067535176
5046,2,296.18219,-14.88966,16.36,0.03,17.415,0.033,1.055,0.044598206
5055,2,296.23343,-14.94506,16.35,0.07,17.376,0.032,1.026,0.076967526
5067,2,296.12887,-14.83295,16.46,0.05,17.545,0.037,1.085,0.062201286
5072,2,296.34115,-14.90903,16.34,0.06,17.324,0.026,0.984,0.065391131
5073,2,296.40255,-14.7337,16.8,0.08,17.831,0.038,1.031,0.088566359
