ID,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
6616,296.05704,-14.75924,17.951,0.058,16.984,0.043,0.967,0.072201108
6621,296.14337,-14.81683,18.09,0.057,17.072,0.044,1.018,0.072006944
6622,296.21624,-14.86519,18.221,0.064,17.294,0.054,0.927,0.083737686
6623,296.19357,-14.78162,17.935,0.05,16.883,0.038,1.052,0.062801274
6642,296.18188,-14.91986,17.915,0.049,16.84,0.037,1.075,0.061400326
6651,296.16086,-14.83694,18.027,0.054,17.092,0.045,0.935,0.070292247
6652,296.3147,-14.81994,18.172,0.06,17.286,0.056,0.886,0.082073138
6654,296.21037,-14.77683,18.077,0.057,17.069,0.044,1.008,0.072006944
6657,296.21619,-14.8512,17.798,0.045,16.699,0.032,1.099,0.055217751
6668,296.14545,-14.77551,17.95,0.051,16.976,0.041,0.974,0.065436993
6678,296.34837,-14.78189,17.876,0.039,16.802,0.033,1.074,0.051088159
6685,296.20441,-14.92203,17.557,0.037,16.579,0.03,0.978,0.047634021
6694,296.23659,-14.76873,17.981,0.052,16.962,0.041,1.019,0.066219333
6721,296.26948,-14.81884,17.877,0.048,16.935,0.039,0.942,0.061846584
6722,296.35449,-14.87675,17.892,0.04,16.907,0.036,0.985,0.053814496
6730,296.20964,-14.77191,18.073,0.057,17.093,0.045,0.98,0.072622311
6732,296.23371,-14.75564,17.929,0.051,17.024,0.043,0.905,0.06670832
6748,296.22923,-14.80105,18.168,0.061,17.183,0.049,0.985,0.078243211
6759,296.11785,-14.79289,17.808,0.045,16.868,0.038,0.94,0.058898217
6775,296.16448,-14.78846,18.057,0.056,17.101,0.046,0.956,0.072470684
6779,296.24446,-14.83076,17.981,0.052,16.888,0.038,1.093,0.064404969
6792,296.23848,-14.77448,17.996,0.053,17.026,0.043,0.97,0.068249542
6794,296.196,-14.81395,17.909,0.05,16.968,0.041,0.941,0.064660653
6795,296.23955,-14.78805,17.851,0.047,16.916,0.039,0.935,0.061073726
6796,296.32349,-14.76954,17.856,0.039,16.944,0.038,0.912,0.054451814
6797,296.33082,-14.89363,17.984,0.043,16.902,0.036,1.082,0.0560803
6818,296.37216,-14.74219,18.038,0.045,16.996,0.039,1.042,0.0595483
6827,296.30215,-14.89753,18.013,0.053,17.087,0.045,0.926,0.069526973
6831,296.07924,-14.74837,18.004,0.06,17.022,0.06,0.982,0.084852814
6832,296.37773,-14.88481,18.142,0.049,17.156,0.045,0.986,0.06652819
6834,296.38487,-14.74023,17.992,0.043,16.922,0.037,1.07,0.056727418
6857,296.19281,-14.84132,18.047,0.055,17.066,0.045,0.981,0.071063352
6861,296.30067,-14.69934,18.026,0.051,17.067,0.039,0.959,0.064202804
6872,296.19731,-14.88059,17.816,0.046,16.805,0.036,1.011,0.058412327
6874,296.21119,-14.85174,18.253,0.066,17.33,0.055,0.923,0.085912746
6875,296.20685,-14.90516,18.011,0.053,16.962,0.041,1.049,0.067007462
6889,296.28927,-14.84126,18.05,0.054,17.137,0.047,0.913,0.071589105
6902,296.43381,-14.886,17.917,0.041,16.984,0.039,0.933,0.056586217
6913,296.1488,-14.72059,18.06,0.053,17.066,0.039,0.994,0.065802736
6923,296.16247,-14.86842,18.108,0.058,17.162,0.048,0.946,0.075286121
6925,296.07689,-14.91374,17.981,0.059,17.009,0.041,0.972,0.07184706
6935,296.21804,-14.83456,17.905,0.05,16.961,0.041,0.944,0.064660653
6937,296.2488,-14.76645,17.935,0.05,16.995,0.042,0.94,0.065299311
6961,296.37707,-14.81521,18.185,0.05,17.223,0.047,0.962,0.068622154
6963,296.30414,-14.83663,17.985,0.052,16.898,0.039,1.087,0.065
6967,296.20911,-14.80408,17.927,0.051,16.94,0.04,0.987,0.064815122
6979,296.22632,-14.85973,18.125,0.059,17.166,0.048,0.959,0.076059187
6981,296.0742,-14.90764,18.032,0.061,17.131,0.045,0.901,0.075802375
6983,296.09673,-14.80474,17.908,0.049,16.898,0.038,1.01,0.062008064
6988,296.17182,-14.871,18.017,0.054,17.046,0.043,0.971,0.069028979
6993,296.25013,-14.91361,18.179,0.061,17.225,0.05,0.954,0.078873316
7006,296.21691,-14.80183,17.972,0.053,16.884,0.038,1.088,0.065215029
7014,296.29365,-14.90178,18.021,0.053,16.968,0.04,1.053,0.066400301
7015,296.26865,-14.87144,17.893,0.048,16.832,0.036,1.061,0.06
7029,296.21531,-14.89002,18.126,0.059,17.171,0.048,0.955,0.076059187
7033,296.19105,-14.80586,18.127,0.059,17.17,0.049,0.957,0.076694198
7035,296.26183,-14.8004,17.985,0.052,16.916,0.039,1.069,0.065
7056,296.06245,-14.74752,18.119,0.066,17.194,0.053,0.925,0.084646323
7088,296.22468,-14.69004,17.752,0.041,16.758,0.03,0.994,0.050803543
7102,296.2493,-14.82323,18.003,0.053,17.1,0.045,0.903,0.069526973
7103,296.14529,-14.83553,18.002,0.053,17.032,0.043,0.97,0.068249542
7120,296.18288,-14.78041,18.01,0.053,17.073,0.045,0.937,0.069526973
7125,296.23558,-14.78748,18.095,0.057,17.202,0.05,0.893,0.07582216
7133,296.09764,-14.94441,18.201,0.062,17.271,0.057,0.93,0.08421995
7142,296.24103,-14.92223,17.96,0.051,16.868,0.037,1.092,0.063007936
7144,296.24622,-14.80532,17.965,0.051,17.045,0.043,0.92,0.06670832
7153,296.24897,-14.90434,17.96,0.051,17.02,0.042,0.94,0.066068147
7161,296.20399,-14.87019,18.028,0.054,17.063,0.044,0.965,0.069656299
7167,296.3067,-14.71044,18.103,0.054,17.212,0.044,0.891,0.069656299
7173,296.40843,-14.77417,18.124,0.048,17.179,0.046,0.945,0.066483081
7182,296.26737,-14.943,17.953,0.05,17.005,0.053,0.948,0.072862885
7183,296.20588,-14.66546,18.246,0.061,17.316,0.048,0.93,0.077620873
7185,296.24805,-14.75816,18.165,0.06,17.231,0.051,0.934,0.078746428
7190,296.35448,-14.70481,18.033,0.053,17.07,0.038,0.963,0.065215029
7202,296.21169,-14.79455,18.057,0.056,17.039,0.044,1.018,0.071217975
7209,296.27068,-14.77646,18.035,0.054,17.109,0.046,0.926,0.070936591
7210,296.28346,-14.88237,18.003,0.052,16.948,0.04,1.055,0.065604878
7226,296.18757,-14.85308,18.169,0.061,17.198,0.05,0.971,0.078873316
7229,296.25501,-14.77015,18.064,0.055,17.075,0.045,0.989,0.071063352
7231,296.39162,-14.89846,18.003,0.044,17.083,0.042,0.92,0.060827625
7242,296.25546,-14.79557,17.945,0.051,17.017,0.042,0.928,0.066068147
7246,296.19311,-14.74261,18.245,0.065,17.31,0.055,0.935,0.085146932
7249,296.20486,-14.78377,17.746,0.044,16.819,0.036,0.927,0.056850682
7258,296.21223,-14.84023,17.982,0.053,16.969,0.041,1.013,0.067007462
7274,296.26908,-14.66903,18.225,0.06,17.326,0.049,0.899,0.077466122
7291,296.16573,-14.68763,18.242,0.061,17.31,0.048,0.932,0.077620873
7295,296.42453,-14.8309,18.047,0.045,17.139,0.044,0.908,0.062936476
7308,296.42579,-14.82693,17.671,0.034,16.514,0.026,1.157,0.042801869
7326,296.37252,-14.71871,18.067,0.046,17.117,0.044,0.95,0.063655322
7355,296.35026,-14.62936,18.092,0.056,17.094,0.039,0.998,0.068242216
7361,296.0675,-14.6785,18.091,0.059,17.133,0.041,0.958,0.07184706
