ID,CMD1region,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
3024,1,296.07637,-14.83239,16.41,0.018,15.881,0.017,0.529,0.024758837
3032,1,296.43612,-14.85679,16.548,0.015,16.19,0.02,0.358,0.025
3035,1,296.41742,-14.89506,16.233,0.012,15.868,0.016,0.365,0.02
3038,1,296.26359,-14.9382,16.18,0.013,15.788,0.016,0.392,0.020615528
3040,1,296.388,-14.80104,16.55,0.015,15.996,0.017,0.554,0.022671568
3046,1,296.21632,-14.64705,16.508,0.016,15.978,0.016,0.53,0.022627417
3050,1,296.27797,-14.74677,16.392,0.015,16.145,0.022,0.247,0.026627054
3052,1,296.39315,-14.71592,16.318,0.014,16.005,0.016,0.313,0.021260292
3064,1,296.39577,-14.8067,16.358,0.013,15.952,0.017,0.406,0.021400935
3067,1,296.43102,-14.90728,16.367,0.014,16.015,0.018,0.352,0.022803509
3070,1,296.20037,-14.81976,16.365,0.015,16.005,0.019,0.36,0.024207437
3077,1,296.1266,-14.746,16.251,0.014,15.931,0.018,0.32,0.022803509
3078,1,296.16464,-14.73985,16.329,0.015,15.994,0.019,0.335,0.024207437
3081,1,296.21235,-14.7721,16.411,0.016,16.088,0.02,0.323,0.025612497
3082,1,296.42499,-14.80891,16.547,0.015,16.175,0.02,0.372,0.025
3083,1,296.2347,-14.77015,16.224,0.014,16.231,0.022,-0.007,0.02607681
3085,1,296.22757,-14.81088,16.461,0.016,16.035,0.019,0.426,0.024839485
3089,1,296.30683,-14.82053,16.418,0.016,16.03,0.019,0.388,0.024839485
3091,1,296.21881,-14.88572,16.336,0.015,16.064,0.019,0.272,0.024207437
3096,1,296.24165,-14.68278,16.481,0.015,15.873,0.015,0.608,0.021213203
3098,1,296.06656,-14.83501,16.392,0.017,16.027,0.019,0.365,0.025495098
3109,1,296.33863,-14.7154,16.468,0.015,15.986,0.016,0.482,0.021931712
